,NAME,PERSON_ID,Team_Name
0,Alex Abrines,203518,Thunder
1,Quincy Acy,203112,Nets
2,Steven Adams,203500,Thunder
3,Bam Adebayo,1628389,Heat
4,Arron Afflalo,201167,Magic
5,Cole Aldrich,202332,Timberwolves
6,LaMarcus Aldridge,200746,Spurs
7,Jarrett Allen,1628386,Nets
8,Kadeem Allen,1628443,Celtics
9,Tony Allen,2754,
10,Al-Farouq Aminu,202329,Trail Blazers
11,Justin Anderson,1626147,76ers
12,Kyle Anderson,203937,Spurs
13,Ryan Anderson,201583,Rockets
14,Ike Anigbogu,1628387,Pacers
15,Giannis Antetokounmpo,203507,Bucks
16,Carmelo Anthony,2546,Thunder
17,OG Anunoby,1628384,Raptors
18,Ryan Arcidiacono,1627853,Bulls
19,Trevor Ariza,2772,Rockets
20,Darrell Arthur,201589,Nuggets
21,Jamel Artis,1628503,Magic
22,Omer Asik,201600,Bulls
23,D.J. Augustin,201571,Magic
24,Luke Babbitt,202337,Heat
25,Dwayne Bacon,1628407,Hornets
26,Ron Baker,1627758,Knicks
27,Wade Baldwin IV,1627735,Trail Blazers
28,Lonzo Ball,1628366,Lakers
29,J.J. Barea,200826,Mavericks
30,Harrison Barnes,203084,Mavericks
31,Will Barton,203115,Nuggets
32,Nicolas Batum,201587,Hornets
33,Jerryd Bayless,201573,76ers
34,Aron Baynes,203382,Celtics
35,Kent Bazemore,203145,Hawks
36,Bradley Beal,203078,Wizards
37,Malik Beasley,1627736,Nuggets
38,Michael Beasley,201563,Knicks
39,Marco Belinelli,201158,76ers
40,Jordan Bell,1628395,Warriors
41,DeAndre' Bembry,1627761,Hawks
42,Dragan Bender,1627733,Suns
43,Davis Bertans,202722,Spurs
44,Patrick Beverley,201976,Clippers
45,Khem Birch,203920,Magic
46,Jabari Bird,1628444,Celtics
47,Bismack Biyombo,202687,Magic
48,Nemanja Bjelica,202357,Timberwolves
49,Tarik Black,204028,Rockets
50,Antonio Blakeney,1628469,Bulls
51,Eric Bledsoe,202339,Bucks
52,Vander Blue,203505,
53,Bogdan Bogdanovic,203992,Kings
54,Bojan Bogdanovic,202711,Pacers
55,Andrew Bogut,101106,
56,Joel Bolomboy,1627762,
57,Devin Booker,1626164,Suns
58,Trevor Booker,202344,Pacers
59,Avery Bradley,202340,Clippers
60,Tony Bradley,1628396,Jazz
61,Corey Brewer,201147,Thunder
62,Malcolm Brogdon,1627763,Bucks
63,Aaron Brooks,201166,Timberwolves
64,Dillon Brooks,1628415,Grizzlies
65,Bobby Brown,201628,
66,Jaylen Brown,1627759,Celtics
67,Lorenzo Brown,203485,Raptors
68,Markel Brown,203900,Rockets
69,Sterling Brown,1628425,Bucks
70,Nicolas Brussino,1627852,
71,Thomas Bryant,1628418,Lakers
72,Reggie Bullock,203493,Pistons
73,Trey Burke,203504,Knicks
74,Alec Burks,202692,Jazz
75,Jimmy Butler,202710,Timberwolves
76,Dwight Buycks,202779,Pistons
77,Bruno Caboclo,203998,Kings
78,Jose Calderon,101181,Cavaliers
79,Kentavious Caldwell-Pope,203484,Lakers
80,Isaiah Canaan,203477,
81,Clint Capela,203991,Rockets
82,DeMarre Carroll,201960,Nets
