,time,tweets
0,15:51:48,"['\\ud83c\\udfc0 \\ud83c\\udfc0 LAST NIGHT\\n vs 128-108 FINAL\\nhttps:\\/\\/t.co\\/5kLUZzKPbJ\\n\\""76ers\\""\\""Heat\\""\\n \\n\\""NBA\\"" \\""Playoff\\"" \\n \\""Game 3\\""\n']"
1,19:10:09,[]
2,19:10:08,[]
3,15:51:44,[]
4,15:51:45,[]
5,19:10:05,[]
6,15:51:47,[]
7,15:51:43,['Huge win on the road for 76ers. But Dario Saric is a special story. I remember when he couldnt make 2 free throws in a row playing for Zagreb and Cibona and now he shoots threes like best stretch 4s in the NBA. His work ethic is incredible and he keeps getting better and better.\n']
8,17:31:53,[]
9,16:30:32,[]
10,17:31:51,[]
11,17:31:50,[]
12,17:31:57,[]
13,16:30:36,['Playoff e\\u015fle\\u015fmelerinde son durum.\\n\\nSize g\\u00f6re yar\\u0131 final e\\u015fle\\u015fmeleri nas\\u0131l olur ?\\n\\nRockets - OKC\\/Warriors - Pelicans\\n\\nWizards - Cavaliers\\/Celtics-76ers\\n\\ud83d\\ude0e https:\\/\\/t.co\\/ykNADBF3Rx\n']
14,17:31:55,[]
15,16:30:34,"['Baller Alert- SC 76ers Cub 14 U- 2023 Milaysia Fulwiley is the real deal- high motor, slasher, high basketball IQ.\n']"
16,18:52:19,[]
17,18:52:18,[]
18,18:52:10,[]
19,18:52:15,[]
20,18:52:14,[]
21,02:27:04,[]
22,02:27:01,[]
23,02:27:02,[]
24,16:38:25,[]
25,15:51:46,[]
26,16:13:56,[]
27,18:26:58,"['76ers lose in the 2018 finals but win the 2019 finals, you heard it here first \\ud83d\\udcaf\n']"
28,16:13:54,[]
29,15:54:58,[]
30,19:02:46,[]
31,18:26:53,[]
32,19:02:40,[]
33,19:02:41,[]
34,19:02:42,[]
35,19:02:43,[]
36,16:37:36,[]
37,03:11:23,[]
38,16:37:34,[]
39,03:11:24,[]
40,19:49:08,[]
41,16:37:35,[]
42,19:49:01,[]
43,19:49:04,[]
44,19:49:07,[]
45,16:37:33,[]
46,19:28:36,[]
47,17:32:10,[]
48,16:37:31,[]
49,17:31:52,[]
50,18:25:55,[]
51,18:25:57,[]
52,18:25:56,"['That reverse line movement yesterday wit 76ers and GS was to throw you off the better team. Same shit wit Cavs tonight, but its the Cavs\\ud83d\\ude0c\n']"
53,18:25:52,[]
54,17:31:56,[]
55,19:12:06,[]
56,19:12:00,[]
57,19:12:03,[]
58,19:12:02,[]
59,19:12:09,[]
60,19:46:11,[]
61,21:15:01,[]
62,21:15:00,[]
63,21:15:05,[]
