,time,tweets
0,15:51:48,[]
1,19:10:09,[]
2,19:10:08,[]
3,15:51:44,[]
4,15:51:45,"[': Enter to win 100,000 V-Bucks, a Year Supply of , a &amp; more! https:\\/\\/t.co\\/bWCEKvRjxA\n']"
5,19:10:05,[]
6,15:51:47,[]
7,15:51:43,[]
8,17:31:53,[': The Celtics have worked over Giannis-at-center lineups so far. I\\u2019m curious to see how the Bucks play if Henson can\\u2019t go toni\\u2026\n']
9,16:30:32,[]
10,17:31:51,[]
11,17:31:50,['Jabari Parker\\u2019s Time With the Bucks Is Just About Up https:\\/\\/t.co\\/tk8a9UXXq0\n']
12,17:31:57,[]
13,16:30:36,[]
14,17:31:55,[]
15,16:30:34,[]
16,18:52:19,"['iPhone 8 &amp; 2,800 Fortnite V-Bucks Giveaway! https:\\/\\/t.co\\/c9D1F9EXRK\n']"
17,18:52:18,[]
18,18:52:10,[]
19,18:52:15,"['The Bucks will likely be without starting center John Henson for Game 3 tonight in Milwaukee. https:\\/\\/t.co\\/YvgKbAgUom\n', 'Enter to win 100,000 V-Bucks, a Year Supply of , a &amp; more! https:\\/\\/t.co\\/jbHgOG6mib\n']"
20,18:52:14,[]
21,02:27:04,['Seriously the Bucks look awful for about a month. Rodgers buys a stake in the team and they go up 19 on the Celtics in a playoff game. His mere presence in Milwaukee also has Chacin pitching a scoreless game into the 6th; helping the Brewers to a 6-0 lead. Rodgers is Wisconsin. https:\\/\\/t.co\\/mhnKcQezXg\n']
22,02:27:01,"['The way Bucks forcing their game on us, smh. The series will go a long way bruh\n']"
23,02:27:02,[]
24,16:38:25,[]
25,15:51:46,"['[SORTEIO] Galera, o canal do youtube Twitch Piece est\\u00e1 fazendo um sorteio de 2800 V-Bucks. \\ud83d\\ude31 Vai ficar de fora? \\ud83d\\udc4a\\ud83c\\udffd\\n \\u2714\\ufe0f Link do Sorteio: https:\\/\\/t.co\\/J6v5YWdKKr https:\\/\\/t.co\\/b9aTE0PrGT\n']"
26,16:13:56,[]
27,18:26:58,[]
28,16:13:54,"['Enter to win 100,000 V-Bucks, a Year Supply of , a &amp; more! https:\\/\\/t.co\\/Bn5ZQCSfdW\n']"
29,15:54:58,[]
30,19:02:46,[]
31,18:26:53,[]
32,19:02:40,[]
33,19:02:41,[]
34,19:02:42,[]
35,19:02:43,[]
36,16:37:36,[]
37,03:11:23,[]
38,16:37:34,[]
39,03:11:24,['Game 3 isn\\u2019t even over and I\\u2019m predicting Bucks take this series\n']
40,19:49:08,[]
41,16:37:35,[]
42,19:49:01,[]
43,19:49:04,[]
44,19:49:07,[]
45,16:37:33,[]
46,19:28:36,[]
47,17:32:10,[]
48,16:37:31,[]
49,17:31:52,['Sharp Money Report\\nNBA &amp; MLB:\\n\\nCeltics-Bucks OVER 205\\nMariners-Rangers OVER 9\\nPirates-Phillies under 9\\n\\n\n']
50,18:25:55,[]
51,18:25:57,[]
52,18:25:56,[]
53,18:25:52,[]
54,17:31:56,[]
55,19:12:06,[]
56,19:12:00,[]
57,19:12:03,['Drew Bledsoe plays on the Bucks?! https:\\/\\/t.co\\/oSuxHVjmHF\n']
58,19:12:02,[]
59,19:12:09,[]
60,19:46:11,[]
61,21:15:01,[]
62,21:15:00,['V-Bucks are up for grabs with Fortnite Fridays https:\\/\\/t.co\\/37XVFv6Q7T\n']
63,21:15:05,['Bucks 2018 playoff schedule including WTMJ broadcasts and Brewers games on 94.5 KTI Country https:\\/\\/t.co\\/PFkvb1HZLj\n']
64,21:15:04,[]
65,21:15:07,"[""Why the hell is Celtics-Bucks, an EASTERN conference playoff game, starting at nearly the same time (9:30) as Red Sox-A's (10:05), which is being played in CALIFORNIA???\n""]"
66,16:39:18,[]
67,16:39:12,[]
68,16:39:10,[]
69,16:39:11,[]
70,16:39:16,"[': Des V-Bucks, toujours + de V-Bucks \\ud83d\\udca5\n']"
71,16:39:14,[]
72,15:41:29,[]
73,03:36:59,[]
74,15:41:26,"['Enter to win 100,000 V-Bucks, a Year Supply of , a &amp; more! https:\\/\\/t.co\\/9HN0qrx2C6\n']"
75,15:41:25,[]
76,15:41:22,[]
77,15:41:21,[]
78,15:41:20,"[""38 yrs ago,the Milwaukee Bucks left the West.Conference - whose were Midwest Div.Champs - as they were edged in a Sunday's game at Seattle in the decisive 7th game of the playoffs series,98-94. Gus Williams bagged 33 pts - including 4 in the final :16\n""]"
79,17:20:17,[]
80,17:20:10,[]
81,17:20:19,[]
82,22:07:30,"[""I was going to say I dont think Ali has the money for 5,800,000 V-Bucks. I mean MAYBE $43,000 is reasonable. On second thought, it's reasonable.\n""]"
83,19:03:36,[]
84,21:02:25,[]
85,19:08:25,[]
86,19:25:49,[]
87,18:54:18,[]
88,18:54:14,[]
89,19:25:40,"[""Let's go bucks take game 3! Bucksalltheway\n""]"
90,18:54:11,['Flashback to 2001 when the Bucks won their last Playoff series https:\\/\\/t.co\\/YZIew0BLXD\n']
91,19:25:46,[]
92,18:54:13,[]
93,18:54:12,[]
94,15:42:57,[]
95,16:29:12,[]
96,15:42:55,[]
97,16:29:10,"['Enter to win 100,000 V-Bucks, a Year Supply of , a &amp; more! https:\\/\\/t.co\\/z3vC7D9Rdt\n']"
98,16:29:17,[]
99,16:29:16,[]
100,19:27:41,[]
101,19:27:40,['The latest The Bucks Wine &amp; Tasting Daily! https:\\/\\/t.co\\/QzBu57eTQU\n']
102,16:16:22,[]
103,16:16:23,[]
104,19:27:45,[]
105,04:22:02,"['Thon Maker explodes for four blocks in four minutes, in Game 3 of Bucks-Celtics series https:\\/\\/t.co\\/NvaStKCxYq\n']"
106,16:16:27,[]
107,19:00:57,[]
108,15:46:58,[]
109,15:46:53,"['Enter to win 100,000 V-Bucks, a Year Supply of , a &amp; more! https:\\/\\/t.co\\/T9rQUFGljo\n']"
110,15:46:52,[]
111,15:46:57,[]
112,15:46:56,[]
113,19:19:08,[]
114,19:19:09,[]
115,20:40:17,"[""Also besides the fact I don't know what to expect out of the Bucks. I really have no clue what kind of crowd to expect tonight. We all knew game 3 last year was going to be nuts. But the vibe is so much different this year\n""]"
116,20:40:19,[]
117,19:19:02,[': Bucks need to play Parker major minutes: https:\\/\\/t.co\\/HssZfHZbzx\n']
