,time,tweets
0,15:51:48,[]
1,19:10:09,[]
2,19:10:08,[]
3,15:51:44,[]
4,15:51:45,[]
5,19:10:05,[]
6,15:51:47,[]
7,15:51:43,[]
8,17:31:53,"['Even though the Knicks are not in the NBA Playoffs, I was excited to welcome Knicks Center Enes Kanter to the Senate yesterday for Turkish Cultural Day. Rochester and Monroe County proudly has a growing and successful Turkish population that calls our community home https:\\/\\/t.co\\/XMJwbhcxSM\n']"
9,16:30:32,[]
10,17:31:51,[]
11,17:31:50,[]
12,17:31:57,[]
13,16:30:36,[]
14,17:31:55,[]
15,16:30:34,[]
16,18:52:19,[]
17,18:52:18,[]
18,18:52:10,[]
19,18:52:15,[]
20,18:52:14,[]
21,02:27:04,[]
22,02:27:01,[]
23,02:27:02,[]
24,16:38:25,[]
25,15:51:46,[]
26,16:13:56,[]
27,18:26:58,[]
28,16:13:54,[]
29,15:54:58,[': Kenny Smith interviewing for the Knicks job is dope.\n']
30,19:02:46,[]
31,18:26:53,[]
32,19:02:40,[]
33,19:02:41,[]
34,19:02:42,['Knicks fan\\u2019s guide to the NBA playoffs: Western Conference https:\\/\\/t.co\\/yCTGbzIcB6 https:\\/\\/t.co\\/GtqpoK28gL\n']
35,19:02:43,[]
36,16:37:36,[]
37,03:11:23,[]
38,16:37:34,[]
39,03:11:24,[]
40,19:49:08,[]
41,16:37:35,"["": Kenny Smith to interview for Knicks' head coaching job on Friday, according to https:\\/\\/t.co\\/ojTrec8wyw https:\\/\\/t.co\\/R\\u2026\n""]"
42,19:49:01,[]
43,19:49:04,[]
44,19:49:07,[]
45,16:37:33,[]
46,19:28:36,[]
47,17:32:10,[]
48,16:37:31,[]
49,17:31:52,[]
50,18:25:55,[]
51,18:25:57,"[""Knicks need to bring in Mark Jackson. He did a great job getting the Warriors to where they are before he got screwed. He can instill that earlier 90's Knicks style of play and attitude\n""]"
52,18:25:56,[]
53,18:25:52,[]
54,17:31:56,[]
55,19:12:06,[]
56,19:12:00,[]
57,19:12:03,[]
58,19:12:02,[]
59,19:12:09,[]
60,19:46:11,[]
61,21:15:01,[]
62,21:15:00,[]
63,21:15:05,[]
64,21:15:04,[]
65,21:15:07,[]
66,16:39:18,[]
67,16:39:12,[]
68,16:39:10,[]
69,16:39:11,[]
70,16:39:16,[]
71,16:39:14,[]
72,15:41:29,[]
73,03:36:59,[]
74,15:41:26,[]
75,15:41:25,[]
76,15:41:22,[]
77,15:41:21,[]
78,15:41:20,"["": Dear Knicks: Please don't hire Kenny Smith and ruin the best basketball show on television https:\\/\\/t.co\\/07shwgCRjN https:\\/\\/t\\u2026\n""]"
79,17:20:17,[]
80,17:20:10,[]
81,17:20:19,[]
82,22:07:30,[]
83,19:03:36,[]
84,21:02:25,[]
85,19:08:25,[]
86,19:25:49,[]
87,18:54:18,[]
88,18:54:14,[]
89,19:25:40,[]
90,18:54:11,[]
91,19:25:46,[]
92,18:54:13,[]
93,18:54:12,[]
94,15:42:57,"[': Knicks to interview Kenny Smith for head coaching job, per https:\\/\\/t.co\\/v82E8uNL7s\n']"
95,16:29:12,[]
96,15:42:55,[]
97,16:29:10,[]
98,16:29:17,[]
99,16:29:16,[]
100,19:27:41,[]
101,19:27:40,[]
102,16:16:22,[]
103,16:16:23,[]
104,19:27:45,[]
105,04:22:02,[]
106,16:16:27,[]
107,19:00:57,[]
108,15:46:58,['Ein Kunde hat mich gerade gelobt und ich hab aus irgendeinem Grund einen Knicks gemacht und eigentlich lebe ich gar nicht mehr sondern meine Seele hat meinen K\\u00f6rper verlassen\n']
109,15:46:53,[]
110,15:46:52,[]
111,15:46:57,[]
112,15:46:56,[]
113,19:19:08,[]
114,19:19:09,[]
115,20:40:17,[]
116,20:40:19,['Bruh wtf Bud you interviewing for the Knicks now? Shit\n']
117,19:19:02,[]
118,19:19:03,[]
119,19:19:05,[]
120,19:19:06,['You\\u2019re the ny Knicks of sports talk. Haha you suck bro\n']
121,20:37:58,"[""BACK TO BACK MVP'S! Re-doing Knicks Offseason! NBA 2K18: https:\\/\\/t.co\\/l672u38FEN via\n""]"
122,20:37:57,[]
123,16:49:56,[]
124,16:52:40,[]
125,16:52:41,[]
126,16:52:47,[]
127,16:52:44,[]
128,16:52:45,[]
129,16:52:48,"["": Dear Knicks: Please don't hire Kenny Smith, ruin best basketball show on - For The Win https:\\/\\/t.co\\/wcYKU6sCUY https:\\u2026\n""]"
130,16:21:57,['I hope you do better next year. I\\u2019d like to see you take the Knicks to a ship one day. Work on your speed and your threes Bro. I believe in you Jake from Statefarm.\n']
131,18:42:46,"['Knicks must think outside the box, call Becky Hammon; Should Giants go for Saquon Barkley? https:\\/\\/t.co\\/QqzHYp77Fd via\n']"
132,16:21:54,[]
133,16:21:50,[]
134,18:44:02,[]
135,18:44:00,[]
136,21:19:36,"[""Report: Knicks plan to talk to Hawks' Budenholzer about HC\\u00a0job https:\\/\\/t.co\\/10kazhI9Xx https:\\/\\/t.co\\/F4aSNMdVhJ\n""]"
137,16:33:16,[]
138,16:33:17,[]
139,16:33:12,[]
140,17:45:56,[]
141,20:08:46,[]
142,20:08:44,[]
143,20:08:45,[]
144,20:08:42,[]
145,20:08:43,[]
146,20:08:49,[]
147,19:40:49,[]
148,19:40:46,[]
149,19:40:47,[]
150,19:40:44,[]
151,19:40:45,[]
152,19:40:43,[]
153,19:40:41,[]
154,16:11:47,[]
155,16:11:45,"[""I think the Knicks? \\u201cI watched a few losing matchups, but I believe (the specifics on for edgeguarding Samus is the league's\n""]"
156,16:11:44,[]
157,16:11:43,[]
158,16:11:42,[]
159,16:11:40,[]
160,18:26:56,[]
161,16:37:29,[]
162,17:32:08,[]
163,18:55:07,[]
164,16:37:21,[]
165,16:14:12,[]
166,17:32:03,[]
167,17:32:02,[]
168,17:32:05,[]
169,16:13:40,[]
170,17:32:07,[]
171,17:32:06,[]
172,19:38:26,[]
173,16:57:39,[]
174,21:13:08,[]
175,21:13:07,['New York Knicks: Mike Budenholzer latest coaching candidate (Report) https:\\/\\/t.co\\/J2uwg53NmX\n']
176,21:13:06,[]
177,21:13:05,"['Entre Mike, Fiz y Stackhouse a qui\\u00e9n ves como mejor entrenador para los Knicks?\n']"
178,16:57:34,[]
