,time,tweets
0,15:51:48,[]
1,19:10:09,['Para traer a Kawhi a los Lakers s\\u00f3lo ver\\u00eda viable la opci\\u00f3n de hacerlo mediante sign&amp;trade con Isaiah. \\nTraspasar a Kuzma\\/Ingram\\/Hart ser\\u00eda un error may\\u00fasculo.\n']
2,19:10:08,[]
3,15:51:44,[': Lakers reportedly eyeing this local prospect in this year\\u2019s draft\\ud83c\\udfc0 https:\\/\\/t.co\\/wFdK74eJef\n']
4,15:51:45,[]
5,19:10:05,[]
6,15:51:47,[]
7,15:51:43,[]
8,17:31:53,[]
9,16:30:32,[]
10,17:31:51,[': Wow Lakers finna be stacked next season https:\\/\\/t.co\\/qqdIleK9AJ\n']
11,17:31:50,[]
12,17:31:57,[]
13,16:30:36,[]
14,17:31:55,[]
15,16:30:34,[]
16,18:52:19,[]
17,18:52:18,[]
18,18:52:10,[]
19,18:52:15,[]
20,18:52:14,[]
21,02:27:04,[]
22,02:27:01,[]
23,02:27:02,[]
24,16:38:25,[]
25,15:51:46,[]
26,16:13:56,[]
27,18:26:58,[]
28,16:13:54,[]
29,15:54:58,[]
30,19:02:46,[]
31,18:26:53,[]
32,19:02:40,[]
33,19:02:41,[]
34,19:02:42,[]
35,19:02:43,[]
36,16:37:36,[]
37,03:11:23,[]
38,16:37:34,[]
39,03:11:24,[]
40,19:49:08,[]
41,16:37:35,[]
42,19:49:01,[]
43,19:49:04,[]
44,19:49:07,[]
45,16:37:33,[]
46,19:28:36,[]
47,17:32:10,[]
48,16:37:31,[]
49,17:31:52,[]
50,18:25:55,[]
51,18:25:57,[]
52,18:25:56,[]
53,18:25:52,[]
54,17:31:56,[]
55,19:12:06,[]
56,19:12:00,[]
57,19:12:03,[]
58,19:12:02,[]
59,19:12:09,[]
60,19:46:11,[]
61,21:15:01,['Also Sixers &gt;&gt;&gt; Lakers\n']
62,21:15:00,[]
63,21:15:05,[]
64,21:15:04,[]
65,21:15:07,[]
66,16:39:18,[]
67,16:39:12,[]
68,16:39:10,[]
69,16:39:11,[]
70,16:39:16,[]
71,16:39:14,[]
72,15:41:29,[]
73,03:36:59,[]
74,15:41:26,[': Shea: I love the Spurs \\nKawhi: I love the Lakers\\nShea: Cool isn\\u2019t it great that you\\u2019re going to play for the Lak\\u2026\n']
75,15:41:25,[]
76,15:41:22,['Seems kinda wrong you aint wearing a Lakers championship ring\n']
77,15:41:21,[]
78,15:41:20,[]
79,17:20:17,[]
80,17:20:10,['Lakers\n']
81,17:20:19,[]
82,22:07:30,[]
83,19:03:36,[]
84,21:02:25,[]
85,19:08:25,[]
86,19:25:49,[]
87,18:54:18,[]
88,18:54:14,[]
89,19:25:40,[]
90,18:54:11,[]
91,19:25:46,[]
92,18:54:13,[]
93,18:54:12,[]
94,15:42:57,[]
95,16:29:12,[]
96,15:42:55,"['The 80\\u2019s Celtics, Sixers, Lakers, Pistons &amp; 90\\u2019s Bulls would kick LeBron\\u2019s teams ass every time.\n']"
97,16:29:10,[]
98,16:29:17,[]
99,16:29:16,[]
100,19:27:41,[]
101,19:27:40,[]
102,16:16:22,[]
103,16:16:23,"['you don\\u2019t understand The Process. Embiid and Simmons were products of tanking. Covington, TJ, Holmes, a top protected pick from the Lakers, the never ending Kings pick swaps (both would become Fultz), and Dario Saric were not. But too bad Dario is never coming over.\n']"
104,19:27:45,[]
105,04:22:02,[]
106,16:16:27,[]
107,19:00:57,[]
108,15:46:58,[]
109,15:46:53,[]
110,15:46:52,[]
111,15:46:57,[]
112,15:46:56,[]
