,time,tweets
0,15:51:48,[]
1,19:10:09,[]
2,19:10:08,[]
3,15:51:44,[]
4,15:51:45,[]
5,19:10:05,['Bournemouth Vs Man United : Mourinho in dilemma ahead of Spurs semi -https:\\/\\/t.co\\/aPM4mgzGBH https:\\/\\/t.co\\/8YfDrTLq51\n']
6,15:51:47,[]
7,15:51:43,[]
8,17:31:53,[]
9,16:30:32,"['Kevin Durant leads Warriors in scoring in Game 3 victory over the Spurs https:\\/\\/t.co\\/VbsEMkGmsJ\n', ""Jose Mourinho not worried about Spurs' 'home advantage' in FA Cup Semi-Final https:\\/\\/t.co\\/hQHnlG0xx5 https:\\/\\/t.co\\/51LwGoxkJL\n""]"
10,17:31:51,[]
11,17:31:50,[]
12,17:31:57,[]
13,16:30:36,[]
14,17:31:55,"[""Win something ? We're the King of North London. Now off to Spurs mighty shadow ya go \\ud83d\\ude02\\ud83d\\ude02\n""]"
15,16:30:34,['Spurs vs Southampton\n']
16,18:52:19,[]
17,18:52:18,[]
18,18:52:10,[]
19,18:52:15,[]
20,18:52:14,[]
21,02:27:04,[]
22,02:27:01,[]
23,02:27:02,[]
24,16:38:25,"[': Man Utd, Spurs seek FA Cup success as last chance for silverware https:\\/\\/t.co\\/OeoaVYWiZf via https:\\/\\/t.co\\/HoG\\u2026\n', 'Source: Charlotte Hornets set up to interview Ettore Messina quickly, once Spurs eliminated. Could be mid-next week. https:\\/\\/t.co\\/wk7YIW2RWS\n']"
25,15:51:46,[]
26,16:13:56,[]
27,18:26:58,[]
28,16:13:54,[]
29,15:54:58,[]
30,19:02:46,"['Alles einleuchtend. Aber eines der beiden Camps sagt doch hier offenbar nicht die Wahrheit. Und macht es f\\u00fcr die Spurs nicht genauso wenig Sinn, ihren Franchise Player ein Jahr von der Extension grundlos \\u00f6ffentlich zu diskreditieren?\n']"
31,18:26:53,[': 2 PL wins in a row for the first time in 2018.\\n5 points behind Spurs. \\n4 games left to play. \\n\\n https:\\/\\/t.co\\/g7\\u2026\n']
32,19:02:40,[]
33,19:02:41,[]
34,19:02:42,[]
35,19:02:43,[]
36,16:37:36,[]
37,03:11:23,[]
38,16:37:34,[]
39,03:11:24,[]
40,19:49:08,['Los Warriors derrotan a Spurs https:\\/\\/t.co\\/G0OZwD80Tk https:\\/\\/t.co\\/RuOp6aVK7a\n']
41,16:37:35,[]
42,19:49:01,[]
43,19:49:04,[]
44,19:49:07,[]
45,16:37:33,[]
46,19:28:36,[]
47,17:32:10,[]
48,16:37:31,[]
49,17:31:52,[]
50,18:25:55,[]
51,18:25:57,[]
52,18:25:56,[]
53,18:25:52,[]
54,17:31:56,"['Spurs touch on playing Game 3 in a difficult time https:\\/\\/t.co\\/YWNwlzO2yp\n', '8th time lucky Chris, took 28 years to win at Bridge, so has to happen eventually! Bookies very confident of Spurs win, hopefully they are correct.\n']"
55,19:12:06,"[""Report: Hornets to interview Spurs' Messina for head coaching job https:\\/\\/t.co\\/Vx2VCcWOHy https:\\/\\/t.co\\/fsjiypgwY9\n""]"
56,19:12:00,[]
57,19:12:03,[]
58,19:12:02,[]
59,19:12:09,[]
60,19:46:11,[]
61,21:15:01,[]
62,21:15:00,[]
63,21:15:05,[]
64,21:15:04,[]
65,21:15:07,[]
66,16:39:18,[': A dark day for all Spurs Fans... WENGER IN! https:\\/\\/t.co\\/FSkDDNqgA8\n']
67,16:39:12,[]
68,16:39:10,[]
69,16:39:11,['Yeah of course dude! That\\u2019s because Duncan is old as dirt and played for the Spurs his whole career. Davis has been plaqued with injuries and a bad team (except this year)! what if none of that happened? What if Davis was 100% injury free and played for let\\u2019s say the Warriors?\n']
70,16:39:16,[]
71,16:39:14,[': Hugo Lloris Leaving Spurs Would Help Them Challenge The Elite - https:\\/\\/t.co\\/ezHuGdD7IU via\n']
72,15:41:29,[]
73,03:36:59,[]
74,15:41:26,[': Shea: I love the Spurs \\nKawhi: I love the Lakers\\nShea: Cool isn\\u2019t it great that you\\u2019re going to play for the Lak\\u2026\n']
75,15:41:25,"['Spurs don\'t \'need\' FA Cup but they do deserve it It\'s short-sighted to say that Tottenham \\""need\\"" a trophy like the FA Cup, but they do deserve a tangible reward for their stunning over-achievement. https:\\/\\/t.co\\/Egg84efvgE via\n']"
76,15:41:22,[]
77,15:41:21,[]
78,15:41:20,[]
79,17:20:17,"['BETFAIR 50\\/1 Man Utd to beat Spurs,New Customers,Max Stake \\u00a31. Winnings paid in free bets,Full T&amp;Cs Apply, 18+Gamble Aware JOIN HERE https:\\/\\/t.co\\/UMbfFbOmK6 \\u2026 https:\\/\\/t.co\\/Ymq9njPIop\n']"
80,17:20:10,[]
81,17:20:19,"['On behalf of all Spurs fans, we are sorry to see you go.\n']"
82,22:07:30,[]
83,19:03:36,['Someday Spurs will win something. Maybe...\n']
84,21:02:25,"[""Isn't the Spurs game after Saints??\n""]"
85,19:08:25,[]
86,19:25:49,[]
87,18:54:18,"['FA get a lot of criticisme for Spurs \\""home-leg\\"" at Wembley in the semi, not played at Villa Park for ex. Their answer is putting a Manchester ref, Anthony Taylor, United have never lost a cup match with him, to balance the books. Pathetic, put all your money on Mourinho. Corrupt.\n']"
88,18:54:14,"['Not Surprising from a Thuggish Spurs fan!\\nMr Lammy is free to decide whether he accepts this description. However, his Tweet was Torylike in its Gracelessness!!!\n']"
89,19:25:40,['Wins in the PL :\\nArsene Wenger - 473\\nSpurs - 420\\n\\nLeagues won at WHL :\\n\\nArsene Wenger - 1\\nSpurs - 0 https:\\/\\/t.co\\/jcqyXXyOdy\n']
90,18:54:11,[]
91,19:25:46,['Spurs were just unlucky last season. Statistically the best team ever to finish 2nd in the league.\n']
92,18:54:13,[]
93,18:54:12,[]
94,15:42:57,[]
95,16:29:12,[]
96,15:42:55,[]
97,16:29:10,[]
98,16:29:17,[]
99,16:29:16,[]
100,19:27:41,"['just met a Spurs fan lol, uhh never wanted to kill someone so much\n']"
101,19:27:40,[]
102,16:16:22,['Durant leads Warriors to 3-0 lead over mourning\\u00a0Spurs https:\\/\\/t.co\\/KEoDY4C1HE https:\\/\\/t.co\\/J2io72NR9L\n']
103,16:16:23,[]
104,19:27:45,[]
105,04:22:02,[]
