,time,tweets
0,15:51:48,[]
1,19:10:09,[]
2,19:10:08,[]
3,15:51:44,[]
4,15:51:45,[]
5,19:10:05,[]
6,15:51:47,[]
7,15:51:43,[]
8,17:31:53,[]
9,16:30:32,['Kevin Durant leads Warriors in scoring in Game 3 victory over the Spurs https:\\/\\/t.co\\/VbsEMkGmsJ\n']
10,17:31:51,[]
11,17:31:50,[]
12,17:31:57,"[""The boys team won all 4 games! The girls basketball team won the first 3 games and lost by 1 point in the final game. Everyone had a great time and we can't wait to be Warriors soon! https:\\/\\/t.co\\/4HqI8PhxVe\n""]"
13,16:30:36,"['BCMMA 21 - Cage Warriors Academy SE - Spencer vs Pawlaczek: https:\\/\\/t.co\\/EpLoto88Nh via\n', 'Playoff e\\u015fle\\u015fmelerinde son durum.\\n\\nSize g\\u00f6re yar\\u0131 final e\\u015fle\\u015fmeleri nas\\u0131l olur ?\\n\\nRockets - OKC\\/Warriors - Pelicans\\n\\nWizards - Cavaliers\\/Celtics-76ers\\n\\ud83d\\ude0e https:\\/\\/t.co\\/ykNADBF3Rx\n']"
14,17:31:55,[]
15,16:30:34,[]
16,18:52:19,[]
17,18:52:18,"[': Nasarawa United in tricky tango with Abia Warriors \\n\\n https:\\/\\/t.co\\/zLhBIz1ea1\n', 'Secret Warriors No.1\\nhttps:\\/\\/t.co\\/4C1hKPAYZd\\nDavid Nakayama\\nCover Artist at Marvel | Art Director at TinyCo\\n Artstation \\u00a9 2018 https:\\/\\/t.co\\/ZtBiMeBk88\n']"
18,18:52:10,['Celeblazing the victory of the Warriors and of course because its 420\n']
19,18:52:15,"['San Jose trends now: Jose, California, Warriors, Wells Fargo, Trump. https:\\/\\/t.co\\/g06Z7l0xYY\n']"
20,18:52:14,[]
21,02:27:04,[]
22,02:27:01,[]
23,02:27:02,[': The Warriors played like In-N-Out was on the line\n']
24,16:38:25,[]
25,15:51:46,[]
26,16:13:56,[]
27,18:26:58,[]
28,16:13:54,['Some of the Excellent GOVS at tonight\\u2019s event for admitted students. Future Rainbow Warriors! https:\\/\\/t.co\\/arqTC7Mh3v\n']
29,15:54:58,[]
30,19:02:46,[]
31,18:26:53,[]
32,19:02:40,[]
33,19:02:41,['Warriors need to give AD the same pitch they gave Durant. Don\\u2019t really matter if you come or not. They gonna win without you. Just depends how bad AD wants to win\n']
34,19:02:42,[]
35,19:02:43,[]
36,16:37:36,['Cris Carter on the Golden State Warriors: \\u2018They are not a championship-caliber team without Steph\\u00a0Curry\\u2019 https:\\/\\/t.co\\/3ZiyDSlYwh https:\\/\\/t.co\\/oRfhbsm3EJ\n']
37,03:11:23,[]
38,16:37:34,[]
39,03:11:24,[]
40,19:49:08,['Los Warriors derrotan a Spurs https:\\/\\/t.co\\/G0OZwD80Tk https:\\/\\/t.co\\/RuOp6aVK7a\n']
41,16:37:35,['Eh. Blazers are frauds. Warriors without curry still easy wins https:\\/\\/t.co\\/wYcN9bi60b\n']
42,19:49:01,[]
43,19:49:04,[]
44,19:49:07,"['Unearth over 5000 Years Ago in China, the Pixiu of Tianlu , Bestows of Warriors Might with Luck https:\\/\\/t.co\\/nmtuJAT7qo https:\\/\\/t.co\\/JnUBLYG7lp\n']"
45,16:37:33,[]
46,19:28:36,[]
47,17:32:10,"['Xbox One Game Added: ACA NEOGEO: Samurai Shodown IV: SAMURAI SHODOWN IV is a fighting game released by SNK in 1996. Warriors with their own respective goalsspeculations will challenge Amakusa who has returned to life again, and plans to conquer the\\u2026 https:\\/\\/t.co\\/7njSpEu8Cq https:\\/\\/t.co\\/LFBFkZCc7n\n']"
48,16:37:31,[]
49,17:31:52,[]
50,18:25:55,[]
51,18:25:57,"[""Knicks need to bring in Mark Jackson. He did a great job getting the Warriors to where they are before he got screwed. He can instill that earlier 90's Knicks style of play and attitude\n"", 'We win game 4, then blow them out in game 5 at home. Shock them in game 6. Anything can happen in game 7. I\\u2019ll wake you up for Game 1 against the Warriors.\n']"
52,18:25:56,[]
53,18:25:52,[]
54,17:31:56,[]
55,19:12:06,[]
56,19:12:00,"['Welland NGBA Warriors - 2020 - 5\'9\\"" - Jayme Foreman getting the shot off vs Vegas Bulldogs during https:\\/\\/t.co\\/4DAmBttJYr\n']"
57,19:12:03,[]
58,19:12:02,['Disponibile Bikini Warriors Episodi 01 - 12 + 1 Special + 3 OAV BD Sub ITA HD (Senza Censure) https:\\/\\/t.co\\/UxqIuPu2Ff https:\\/\\/t.co\\/UxqIuPu2Ff\n']
59,19:12:09,[]
60,19:46:11,[]
61,21:15:01,[]
62,21:15:00,[]
63,21:15:05,[]
64,21:15:04,[]
65,21:15:07,[]
66,16:39:18,[]
67,16:39:12,[]
68,16:39:10,[]
69,16:39:11,['Yeah of course dude! That\\u2019s because Duncan is old as dirt and played for the Spurs his whole career. Davis has been plaqued with injuries and a bad team (except this year)! what if none of that happened? What if Davis was 100% injury free and played for let\\u2019s say the Warriors?\n']
70,16:39:16,[]
71,16:39:14,[]
72,15:41:29,[]
73,03:36:59,"[""Asura Buster - Eternal Warriors (2000) by \\n\\nIt's just as good as the first one! Smooth animations w\\/ smooth combo connect! Last boss reminds me of some Onslaught or Apocalypse in some Capcom crossovers!\\ud83d\\udd79\\ufe0f\\n\\n https:\\/\\/t.co\\/X8lmcPYfAg\n""]"
74,15:41:26,[]
75,15:41:25,[]
76,15:41:22,[]
77,15:41:21,"[""Warriors were up on the Cavs 3-0. Only reason they swept the West is because Kawhi got hurt. Plus you're only focusing on one all time dominant team. Its about the depth of talent. not just the top teams.\n""]"
78,15:41:20,[]
79,17:20:17,['Another good performance by the Warrior JV team last night... Warriors 2 Cody 0 (5-1-1)\\u26bd\\ufe0f\\ud83d\\udd25. These guys just keep getting better and are so vital to our program. Your hard work is very much appreciated! Thank you\\ud83d\\udcaf \\u26bd\\ufe0f\\ud83d\\udcaf\\ud83d\\udd25\\ud83d\\udd25\\ud83d\\udd25 https:\\/\\/t.co\\/YuQ2R9jz89\n']
80,17:20:10,[]
81,17:20:19,[]
82,22:07:30,[]
83,19:03:36,[]
84,21:02:25,[]
